 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    81.1,    97.3,    0.32,    0.23,  0.00,   359.5,     0.4,     1.2
    2, 194.549, 194.649,    85.8,    91.6,    0.31,    0.26,  0.00,   359.4,     0.3,     1.0
    3, 194.649, 194.749,    82.3,    95.0,    0.32,    0.26,  0.00,   359.6,     0.2,     1.3
    4, 194.749, 194.849,    78.7,    70.9,    0.35,    0.20,  0.00,   359.5,     0.1,     1.4
    5, 194.849, 194.949,    76.0,    83.1,    0.35,    0.22,  0.00,   359.5,     0.2,     1.3
    6, 194.949, 195.049,    78.2,    86.1,    0.36,    0.24,  0.00,   359.6,     0.5,     1.3
    7, 195.049, 195.149,   101.8,   123.2,    0.33,    0.17,  0.00,   359.6,     0.6,     1.5
    8, 195.149, 195.249,    82.6,   102.7,    0.30,    0.19,  0.00,   359.5,     0.5,     1.5
    9, 195.249, 195.349,    88.4,    96.7,    0.27,    0.20,  0.00,   359.4,     0.5,     1.5
   10, 195.349, 195.449,    58.2,    65.2,    0.13,    0.08,  0.00,   359.4,     0.6,     1.5
   11, 195.449, 195.549,    53.4,    50.4,    0.12,    0.11,  0.00,   359.7,     0.4,     1.7
   12, 195.549, 195.649,    82.7,    79.4,    0.12,    0.12,  0.00,   359.5,     0.1,     1.7
   13, 195.649, 195.749,    62.6,    63.5,    0.16,    0.12,  0.00,   359.5,     0.0,     1.7
   14, 195.749, 195.849,    54.3,    45.8,    0.14,    0.10,  0.00,   359.5,    -0.1,     1.6
   15, 195.849, 195.949,    52.4,    51.6,    0.12,    0.09,  0.00,   359.5,    -0.0,     1.5
   16, 195.949, 196.049,    56.8,    47.8,    0.13,    0.09,  0.00,   359.5,     0.1,     1.6
   17, 196.049, 196.149,    51.7,    45.7,    0.10,    0.11,  0.00,   359.7,     0.1,     1.9
   18, 196.149, 196.249,    43.9,    48.2,    0.11,    0.12,  0.00,   359.4,     0.1,     1.9
   19, 196.249, 196.349,    52.0,    51.4,    0.11,    0.13,  0.00,   359.6,     0.5,     2.0
   20, 196.349, 196.449,    50.3,    53.8,    0.12,    0.14,  0.00,   359.5,     2.2,     2.1
   21, 196.449, 196.549,   102.6,    81.4,    0.10,    0.13,  0.00,   359.5,     0.5,     1.9
   22, 196.549, 196.649,    44.2,    55.2,    0.12,    0.10,  0.00,   359.5,    -1.6,     2.1
   23, 196.649, 196.749,    46.0,    48.7,    0.12,    0.11,  0.00,   359.5,    -1.9,     2.1
   24, 196.749, 196.849,    49.3,    44.2,    0.12,    0.09,  0.00,   359.5,    -0.7,     2.4
   25, 196.849, 196.949,    53.2,    48.0,    0.11,    0.11,  0.00,   359.6,    -0.4,     2.3
   26, 196.949, 197.049,    47.5,    55.7,    0.09,    0.11,  0.00,   359.6,    -0.4,     2.4
   27, 197.049, 197.149,    59.3,    59.1,    0.10,    0.09,  0.00,   359.5,    -0.6,     2.4
   28, 197.149, 197.249,    49.8,    45.7,    0.10,    0.11,  0.00,   359.6,    -0.6,     2.2
   29, 197.249, 197.349,    45.6,    54.2,    0.10,    0.11,  0.00,   359.5,    -0.6,     2.2
   30, 197.349, 197.449,    53.3,    49.2,    0.08,    0.10,  0.00,   359.6,    -0.6,     2.3
   31, 197.449, 197.549,    51.5,    49.2,    0.09,    0.11,  0.00,   359.5,    -0.4,     2.0
   32, 197.549, 197.649,    44.0,    45.5,    0.11,    0.11,  0.00,   359.5,    -0.1,     2.1
   33, 197.649, 197.749,    47.5,    49.7,    0.12,    0.11,  0.00,   359.6,    -0.1,     2.2
   34, 197.749, 197.849,    46.8,    52.5,    0.11,    0.12,  0.00,   359.5,    -0.1,     2.4
   35, 197.849, 197.949,    52.6,    57.7,    0.12,    0.12,  0.00,   359.4,    -0.2,     2.4
   36, 197.949, 198.049,    47.4,    48.3,    0.12,    0.12,  0.00,   359.5,    -0.2,     2.2
   37, 198.049, 198.149,    51.9,    45.5,    0.13,    0.11,  0.00,   359.5,    -0.2,     2.1
   38, 198.149, 198.249,    52.6,    45.8,    0.12,    0.12,  0.00,   359.5,     0.0,     2.0
   39, 198.249, 198.349,    52.6,    56.9,    0.11,    0.11,  0.00,   359.6,     0.2,     2.2
   40, 198.349, 198.449,    53.5,    46.1,    0.12,    0.12,  0.00,   359.5,     0.2,     2.3
   41, 198.449, 198.549,    46.2,    44.8,    0.12,    0.14,  0.00,   359.6,     0.2,     2.3
   42, 198.549, 198.649,    45.6,    42.6,    0.13,    0.13,  0.00,   359.5,     0.2,     2.2
   43, 198.649, 198.749,    43.6,    43.8,    0.13,    0.15,  0.00,   359.5,     0.1,     2.1
   44, 198.749, 198.849,    43.6,    43.5,    0.12,    0.14,  0.00,   359.5,     0.1,     2.0
   45, 198.849, 198.949,    39.9,    44.8,    0.12,    0.14,  0.00,   359.5,     0.2,     2.2
   46, 198.949, 199.049,    46.5,    46.7,    0.13,    0.14,  0.00,   359.5,     0.2,     2.3
   47, 199.049, 199.149,    47.3,    45.9,    0.13,    0.12,  0.00,   359.3,     0.1,     2.1
   48, 199.149, 199.249,    46.3,    50.0,    0.11,    0.09,  0.00,   359.7,     0.0,     1.8
   49, 199.249, 199.349,    54.6,    74.2,    0.09,    0.10,  0.00,   359.4,     0.3,     1.9
   50, 199.349, 199.446,    60.6,    65.4,    0.10,    0.08,  0.00,   359.5,     0.7,     1.6
