 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    77.9,    92.7,    0.32,    0.23,   359.5,     0.8,     0.7
    2, 194.549, 194.649,    81.2,    85.7,    0.30,    0.25,   359.5,     0.6,     0.6
    3, 194.649, 194.749,    81.5,    92.9,    0.31,    0.26,   359.6,     0.4,     0.7
    4, 194.749, 194.849,    77.4,    67.5,    0.35,    0.18,   359.5,     0.3,     0.8
    5, 194.849, 194.949,    74.0,    85.2,    0.35,    0.20,   359.5,     0.2,     0.7
    6, 194.949, 195.049,    77.4,    88.7,    0.35,    0.20,   359.6,     0.4,     0.8
    7, 195.049, 195.149,   103.3,   105.1,    0.34,    0.18,   359.5,     0.5,     0.9
    8, 195.149, 195.249,    84.0,    85.5,    0.32,    0.20,   359.5,     0.4,     0.9
    9, 195.249, 195.349,    89.7,    90.6,    0.26,    0.19,   359.5,     0.3,     0.9
   10, 195.349, 195.449,    57.4,    69.1,    0.12,    0.07,   359.4,     0.2,     1.0
   11, 195.449, 195.549,    59.0,    48.1,    0.12,    0.08,   359.6,     0.1,     1.2
   12, 195.549, 195.649,    78.2,    74.7,    0.12,    0.12,   359.5,    -0.3,     1.1
   13, 195.649, 195.749,    62.0,    68.7,    0.17,    0.10,   359.5,    -0.4,     1.0
   14, 195.749, 195.849,    44.6,    42.8,    0.14,    0.05,   359.5,    -0.5,     0.9
   15, 195.849, 195.949,    48.1,    46.8,    0.13,    0.05,   359.5,    -0.4,     0.8
   16, 195.949, 196.049,    51.1,    46.6,    0.13,    0.07,   359.6,    -0.4,     0.9
   17, 196.049, 196.149,    50.3,    47.8,    0.08,    0.09,   359.6,    -0.3,     1.2
   18, 196.149, 196.249,    42.8,    49.1,    0.10,    0.10,   359.4,    -0.3,     1.3
   19, 196.249, 196.349,    46.4,    49.4,    0.11,    0.10,   359.5,     0.2,     1.3
   20, 196.349, 196.449,    46.6,    54.4,    0.12,    0.11,   359.5,     1.9,     1.5
   21, 196.449, 196.549,   119.0,    81.6,    0.10,    0.11,   359.5,     0.2,     1.3
   22, 196.549, 196.649,    48.4,    52.4,    0.11,    0.07,   359.6,    -1.8,     1.6
   23, 196.649, 196.749,    45.6,    48.1,    0.11,    0.09,   359.5,    -2.2,     1.7
   24, 196.749, 196.849,    43.9,    44.9,    0.11,    0.09,   359.6,    -0.9,     2.0
   25, 196.849, 196.949,    53.8,    45.0,    0.10,    0.08,   359.4,    -0.4,     1.8
   26, 196.949, 197.049,    49.8,    49.2,    0.11,    0.08,   359.6,    -0.4,     1.7
   27, 197.049, 197.149,    58.1,    62.5,    0.10,    0.07,   359.5,    -0.4,     1.7
   28, 197.149, 197.249,    55.8,    45.8,    0.10,    0.07,   359.5,    -0.3,     1.6
   29, 197.249, 197.349,    48.6,    49.6,    0.10,    0.09,   359.6,    -0.3,     1.6
   30, 197.349, 197.449,    52.5,    42.6,    0.10,    0.10,   359.5,    -0.2,     1.6
   31, 197.449, 197.549,    53.9,    44.8,    0.10,    0.08,   359.5,    -0.0,     1.3
   32, 197.549, 197.649,    50.5,    49.7,    0.10,    0.08,   359.6,     0.3,     1.5
   33, 197.649, 197.749,    44.9,    48.0,    0.11,    0.08,   359.6,     0.3,     1.5
   34, 197.749, 197.849,    43.9,    51.5,    0.11,    0.09,   359.5,     0.4,     1.6
   35, 197.849, 197.949,    53.5,    53.4,    0.11,    0.09,   359.5,     0.3,     1.7
   36, 197.949, 198.049,    46.0,    45.4,    0.11,    0.09,   359.4,     0.3,     1.6
   37, 198.049, 198.149,    51.0,    46.2,    0.11,    0.09,   359.6,     0.4,     1.6
   38, 198.149, 198.249,    49.1,    45.8,    0.11,    0.10,   359.5,     0.5,     1.3
   39, 198.249, 198.349,    54.9,    57.7,    0.10,    0.09,   359.6,     0.6,     1.5
   40, 198.349, 198.449,    55.4,    44.8,    0.10,    0.09,   359.5,     0.7,     1.7
   41, 198.449, 198.549,    45.1,    47.3,    0.12,    0.11,   359.5,     0.6,     1.6
   42, 198.549, 198.649,    46.2,    44.5,    0.12,    0.11,   359.6,     0.6,     1.6
   43, 198.649, 198.749,    42.6,    42.2,    0.13,    0.12,   359.5,     0.6,     1.4
   44, 198.749, 198.849,    41.6,    46.0,    0.12,    0.10,   359.5,     0.6,     1.4
   45, 198.849, 198.949,    46.0,    44.3,    0.13,    0.10,   359.5,     0.6,     1.5
   46, 198.949, 199.049,    43.4,    48.9,    0.12,    0.12,   359.6,     0.6,     1.6
   47, 199.049, 199.149,    48.4,    51.6,    0.12,    0.10,   359.5,     0.5,     1.5
   48, 199.149, 199.249,    45.9,    50.4,    0.08,    0.08,   359.5,     0.4,     1.3
   49, 199.249, 199.349,    53.9,    70.1,    0.08,    0.09,   359.4,     0.5,     1.3
   50, 199.349, 199.448,    60.0,    66.8,    0.09,    0.06,   359.6,     0.8,     1.0
