 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    77.2,    86.9,    0.34,    0.23,   359.5,     0.1,     1.1
    2, 194.549, 194.649,    83.2,    83.5,    0.33,    0.24,   359.5,    -0.0,     0.8
    3, 194.649, 194.749,    84.2,    86.8,    0.33,    0.26,   359.5,    -0.1,     1.0
    4, 194.749, 194.849,    80.6,    70.5,    0.36,    0.18,   359.6,    -0.1,     1.1
    5, 194.849, 194.949,    72.1,    78.6,    0.38,    0.21,   359.4,    -0.1,     1.0
    6, 194.949, 195.049,    76.0,    82.7,    0.38,    0.22,   359.6,     0.2,     1.0
    7, 195.049, 195.149,    98.8,   111.4,    0.35,    0.18,   359.5,     0.4,     1.1
    8, 195.149, 195.249,    84.6,    83.1,    0.35,    0.20,   359.4,     0.3,     1.2
    9, 195.249, 195.349,    91.9,    91.4,    0.29,    0.20,   359.5,     0.3,     1.2
   10, 195.349, 195.449,    60.8,    65.4,    0.13,    0.07,   359.4,     0.3,     1.2
   11, 195.449, 195.549,    56.6,    51.1,    0.15,    0.07,   359.6,     0.3,     1.4
   12, 195.549, 195.649,    71.5,    67.2,    0.13,    0.12,   359.5,    -0.1,     1.3
   13, 195.649, 195.749,    77.0,    70.6,    0.18,    0.11,   359.6,    -0.1,     1.3
   14, 195.749, 195.849,    46.8,    44.8,    0.16,    0.07,   359.4,    -0.2,     1.3
   15, 195.849, 195.949,    48.5,    45.6,    0.13,    0.07,   359.5,    -0.2,     1.2
   16, 195.949, 196.049,    53.6,    45.2,    0.14,    0.07,   359.6,    -0.1,     1.3
   17, 196.049, 196.149,    52.4,    46.7,    0.12,    0.08,   359.6,    -0.0,     1.5
   18, 196.149, 196.249,    48.8,    44.1,    0.13,    0.09,   359.5,    -0.1,     1.6
   19, 196.249, 196.349,    52.5,    49.7,    0.13,    0.09,   359.6,     0.3,     1.7
   20, 196.349, 196.449,    48.2,    50.6,    0.13,    0.13,   359.6,     2.1,     1.8
   21, 196.449, 196.549,    98.3,    77.5,    0.11,    0.12,   359.5,     0.5,     1.7
   22, 196.549, 196.649,    48.8,    55.4,    0.13,    0.07,   359.4,    -1.5,     1.8
   23, 196.649, 196.749,    51.2,    50.9,    0.12,    0.08,   359.6,    -2.0,     1.9
   24, 196.749, 196.849,    46.4,    46.9,    0.12,    0.09,   359.5,    -0.6,     2.2
   25, 196.849, 196.949,    57.1,    46.2,    0.10,    0.07,   359.4,    -0.1,     2.0
   26, 196.949, 197.049,    47.5,    48.6,    0.12,    0.07,   359.7,    -0.1,     2.0
   27, 197.049, 197.149,    58.2,    59.1,    0.11,    0.07,   359.5,    -0.2,     2.1
   28, 197.149, 197.249,    52.2,    49.6,    0.12,    0.08,   359.5,    -0.2,     1.9
   29, 197.249, 197.349,    46.4,    51.6,    0.11,    0.09,   359.6,    -0.1,     2.0
   30, 197.349, 197.449,    56.8,    48.6,    0.12,    0.09,   359.5,    -0.1,     1.9
   31, 197.449, 197.549,    57.8,    43.8,    0.12,    0.07,   359.4,     0.1,     1.6
   32, 197.549, 197.649,    49.2,    51.7,    0.11,    0.08,   359.7,     0.4,     1.7
   33, 197.649, 197.749,    47.3,    48.8,    0.12,    0.09,   359.6,     0.4,     1.9
   34, 197.749, 197.849,    46.3,    51.5,    0.13,    0.10,   359.5,     0.4,     2.0
   35, 197.849, 197.949,    55.2,    56.9,    0.12,    0.10,   359.6,     0.4,     2.1
   36, 197.949, 198.049,    51.1,    47.6,    0.12,    0.09,   359.4,     0.3,     2.0
   37, 198.049, 198.149,    53.0,    47.9,    0.12,    0.10,   359.6,     0.4,     2.0
   38, 198.149, 198.249,    51.1,    46.3,    0.12,    0.12,   359.4,     0.6,     1.8
   39, 198.249, 198.349,    54.2,    55.8,    0.11,    0.10,   359.6,     0.7,     1.9
   40, 198.349, 198.449,    54.4,    47.3,    0.12,    0.10,   359.5,     0.8,     2.0
   41, 198.449, 198.549,    47.5,    43.8,    0.14,    0.11,   359.6,     0.8,     2.0
   42, 198.549, 198.649,    46.4,    44.5,    0.14,    0.12,   359.5,     0.8,     2.0
   43, 198.649, 198.749,    45.8,    43.4,    0.14,    0.13,   359.5,     0.7,     1.9
   44, 198.749, 198.849,    41.7,    46.3,    0.14,    0.11,   359.5,     0.8,     1.9
   45, 198.849, 198.949,    45.0,    46.2,    0.14,    0.11,   359.6,     0.9,     2.1
   46, 198.949, 199.049,    40.3,    43.2,    0.13,    0.13,   359.6,     0.8,     2.1
   47, 199.049, 199.149,    49.9,    51.4,    0.14,    0.11,   359.3,     0.7,     2.1
   48, 199.149, 199.249,    50.1,    49.0,    0.11,    0.07,   359.6,     0.7,     1.7
   49, 199.249, 199.349,    54.9,    72.8,    0.09,    0.08,   359.5,     0.8,     1.8
   50, 199.349, 199.449,    60.1,    63.5,    0.10,    0.07,   359.4,     1.1,     1.5
   51, 199.449, 199.452,    50.9,    44.7,    0.10,    0.06,   359.5,     1.1,     1.6
