 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    80.5,    84.6,    0.34,    0.23,   359.6,    -0.7,     0.8
    2, 194.549, 194.649,    80.2,   105.8,    0.31,    0.26,   359.5,    -0.8,     0.6
    3, 194.649, 194.749,    84.3,    83.6,    0.32,    0.26,   359.5,    -0.8,     0.8
    4, 194.749, 194.849,    79.7,    67.9,    0.35,    0.19,   359.6,    -0.8,     0.9
    5, 194.849, 194.949,    73.5,    87.9,    0.35,    0.21,   359.5,    -0.7,     0.8
    6, 194.949, 195.049,    79.6,    81.3,    0.37,    0.23,   359.6,    -0.4,     0.9
    7, 195.049, 195.149,    97.9,   109.9,    0.34,    0.18,   359.6,    -0.2,     0.9
    8, 195.149, 195.249,    83.1,    85.4,    0.33,    0.20,   359.4,    -0.3,     0.9
    9, 195.249, 195.349,    95.3,    87.9,    0.27,    0.20,   359.5,    -0.3,     0.9
   10, 195.349, 195.449,    62.3,    67.3,    0.12,    0.06,   359.4,    -0.3,     1.0
   11, 195.449, 195.549,    57.3,    53.3,    0.13,    0.06,   359.6,    -0.3,     1.1
   12, 195.549, 195.649,    69.9,    66.4,    0.12,    0.11,   359.6,    -0.6,     1.1
   13, 195.649, 195.749,    76.9,    72.5,    0.17,    0.11,   359.5,    -0.6,     1.0
   14, 195.749, 195.849,    45.3,    43.4,    0.15,    0.06,   359.4,    -0.8,     1.0
   15, 195.849, 195.949,    49.9,    44.2,    0.13,    0.06,   359.6,    -0.7,     0.9
   16, 195.949, 196.049,    51.4,    43.7,    0.13,    0.07,   359.4,    -0.6,     1.0
   17, 196.049, 196.149,    52.8,    46.1,    0.11,    0.08,   359.7,    -0.5,     1.2
   18, 196.149, 196.249,    43.1,    45.5,    0.10,    0.10,   359.4,    -0.5,     1.4
   19, 196.249, 196.349,    48.4,    48.8,    0.12,    0.10,   359.5,     0.0,     1.3
   20, 196.349, 196.449,    51.0,    51.4,    0.12,    0.13,   359.6,     1.8,     1.5
   21, 196.449, 196.549,   119.4,    79.5,    0.10,    0.11,   359.5,     0.2,     1.3
   22, 196.549, 196.649,    49.4,    51.4,    0.12,    0.07,   359.6,    -1.8,     1.5
   23, 196.649, 196.749,    45.3,    47.9,    0.11,    0.09,   359.5,    -2.2,     1.6
   24, 196.749, 196.849,    45.9,    44.8,    0.10,    0.09,   359.6,    -0.9,     1.9
   25, 196.849, 196.949,    51.4,    48.0,    0.10,    0.09,   359.5,    -0.3,     1.7
   26, 196.949, 197.049,    47.5,    52.4,    0.09,    0.09,   359.6,    -0.3,     1.7
   27, 197.049, 197.149,    56.0,    57.4,    0.09,    0.08,   359.4,    -0.3,     1.8
   28, 197.149, 197.249,    55.4,    48.1,    0.11,    0.07,   359.5,    -0.3,     1.6
   29, 197.249, 197.349,    48.9,    52.3,    0.11,    0.09,   359.6,    -0.2,     1.6
   30, 197.349, 197.449,    52.0,    41.8,    0.10,    0.10,   359.5,    -0.1,     1.6
   31, 197.449, 197.549,    50.7,    44.1,    0.10,    0.08,   359.5,     0.1,     1.3
   32, 197.549, 197.649,    49.6,    46.7,    0.10,    0.09,   359.6,     0.3,     1.4
   33, 197.649, 197.749,    43.7,    45.4,    0.11,    0.09,   359.6,     0.3,     1.5
   34, 197.749, 197.849,    46.7,    49.4,    0.12,    0.10,   359.5,     0.3,     1.6
   35, 197.849, 197.949,    51.1,    55.9,    0.11,    0.10,   359.5,     0.3,     1.7
   36, 197.949, 198.049,    46.4,    43.3,    0.10,    0.09,   359.5,     0.3,     1.7
   37, 198.049, 198.149,    51.4,    44.7,    0.11,    0.10,   359.5,     0.4,     1.7
   38, 198.149, 198.249,    47.3,    46.8,    0.12,    0.11,   359.5,     0.5,     1.4
   39, 198.249, 198.349,    51.2,    57.0,    0.10,    0.10,   359.6,     0.6,     1.5
   40, 198.349, 198.449,    55.0,    49.6,    0.11,    0.09,   359.5,     0.7,     1.7
   41, 198.449, 198.549,    49.5,    43.2,    0.12,    0.11,   359.6,     0.6,     1.7
   42, 198.549, 198.649,    46.6,    45.6,    0.13,    0.11,   359.5,     0.7,     1.6
   43, 198.649, 198.749,    44.7,    42.6,    0.13,    0.12,   359.5,     0.6,     1.6
   44, 198.749, 198.849,    39.5,    42.7,    0.11,    0.11,   359.5,     0.6,     1.5
   45, 198.849, 198.949,    47.5,    44.3,    0.13,    0.10,   359.5,     0.7,     1.6
   46, 198.949, 199.049,    41.0,    45.6,    0.12,    0.12,   359.5,     0.6,     1.7
   47, 199.049, 199.149,    47.9,    49.8,    0.12,    0.10,   359.4,     0.5,     1.6
   48, 199.149, 199.249,    48.8,    47.1,    0.10,    0.07,   359.5,     0.4,     1.3
   49, 199.249, 199.349,    53.2,    71.2,    0.09,    0.09,   359.5,     0.5,     1.3
   50, 199.349, 199.449,    61.3,    68.6,    0.09,    0.06,   359.5,     0.8,     1.0
   51, 199.449, 199.454,    55.1,    47.0,    0.08,    0.08,   359.8,     0.8,     1.2
