 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    78.3,    87.2,    0.33,    0.23,   359.5,     1.0,     0.8
    2, 194.549, 194.649,    86.5,    80.9,    0.32,    0.25,   359.5,     0.8,     0.6
    3, 194.649, 194.749,    82.0,    89.4,    0.32,    0.26,   359.6,     0.5,     0.8
    4, 194.749, 194.849,    78.6,    66.8,    0.36,    0.19,   359.5,     0.3,     1.0
    5, 194.849, 194.949,    75.0,    77.4,    0.37,    0.21,   359.5,     0.2,     0.9
    6, 194.949, 195.049,    76.1,    81.8,    0.37,    0.22,   359.6,     0.3,     0.9
    7, 195.049, 195.149,   102.7,   107.9,    0.35,    0.17,   359.5,     0.3,     1.0
    8, 195.149, 195.249,    85.8,    75.7,    0.32,    0.18,   359.4,     0.2,     1.0
    9, 195.249, 195.349,    93.6,    90.1,    0.26,    0.18,   359.6,     0.1,     1.0
   10, 195.349, 195.449,    58.2,    64.2,    0.13,    0.06,   359.4,    -0.0,     1.3
   11, 195.449, 195.549,    64.3,    51.8,    0.12,    0.07,   359.7,    -0.1,     1.5
   12, 195.549, 195.649,    78.6,    77.5,    0.12,    0.12,   359.4,    -0.4,     1.4
   13, 195.649, 195.749,    61.2,    68.0,    0.17,    0.09,   359.5,    -0.5,     1.2
   14, 195.749, 195.849,    42.6,    41.4,    0.15,    0.06,   359.5,    -0.6,     1.0
   15, 195.849, 195.949,    53.4,    45.0,    0.13,    0.05,   359.5,    -0.6,     0.8
   16, 195.949, 196.049,    44.9,    45.6,    0.14,    0.06,   359.6,    -0.5,     0.9
   17, 196.049, 196.149,    51.2,    44.4,    0.09,    0.09,   359.7,    -0.5,     1.3
   18, 196.149, 196.249,    44.7,    48.9,    0.11,    0.10,   359.4,    -0.5,     1.4
   19, 196.249, 196.349,    47.7,    51.8,    0.11,    0.09,   359.5,     0.1,     1.4
   20, 196.349, 196.449,    45.7,    51.6,    0.11,    0.12,   359.6,     1.8,     1.6
   21, 196.449, 196.549,   113.5,    77.3,    0.10,    0.11,   359.5,     0.1,     1.5
   22, 196.549, 196.649,    47.4,    52.0,    0.12,    0.06,   359.5,    -1.9,     1.6
   23, 196.649, 196.749,    50.7,    48.7,    0.11,    0.08,   359.5,    -2.2,     1.6
   24, 196.749, 196.849,    47.7,    46.4,    0.10,    0.08,   359.5,    -0.8,     1.8
   25, 196.849, 196.949,    61.4,    46.9,    0.10,    0.07,   359.6,    -0.3,     1.6
   26, 196.949, 197.049,    47.7,    52.2,    0.10,    0.09,   359.6,    -0.2,     1.8
   27, 197.049, 197.149,    58.1,    62.6,    0.10,    0.07,   359.4,    -0.2,     1.7
   28, 197.149, 197.249,    53.1,    48.8,    0.10,    0.07,   359.6,    -0.2,     1.5
   29, 197.249, 197.349,    45.7,    50.3,    0.10,    0.09,   359.5,    -0.1,     1.6
   30, 197.349, 197.449,    51.3,    43.5,    0.11,    0.09,   359.5,    -0.0,     1.6
   31, 197.449, 197.549,    56.8,    43.8,    0.10,    0.07,   359.4,     0.2,     1.3
   32, 197.549, 197.649,    50.1,    53.2,    0.10,    0.08,   359.5,     0.4,     1.5
   33, 197.649, 197.749,    50.6,    48.4,    0.10,    0.08,   359.6,     0.5,     1.6
   34, 197.749, 197.849,    46.0,    49.0,    0.12,    0.09,   359.5,     0.5,     1.7
   35, 197.849, 197.949,    55.5,    53.4,    0.11,    0.09,   359.5,     0.5,     1.8
   36, 197.949, 198.049,    48.5,    45.1,    0.11,    0.09,   359.5,     0.4,     1.7
   37, 198.049, 198.149,    50.7,    47.2,    0.10,    0.11,   359.5,     0.5,     1.8
   38, 198.149, 198.249,    50.2,    45.3,    0.11,    0.11,   359.4,     0.7,     1.6
   39, 198.249, 198.349,    55.0,    58.2,    0.09,    0.10,   359.6,     0.7,     1.7
   40, 198.349, 198.449,    54.2,    44.4,    0.10,    0.10,   359.5,     0.8,     1.8
   41, 198.449, 198.549,    47.1,    45.2,    0.10,    0.12,   359.6,     0.8,     1.8
   42, 198.549, 198.649,    43.6,    42.0,    0.12,    0.12,   359.5,     0.8,     1.8
   43, 198.649, 198.749,    43.2,    41.3,    0.13,    0.13,   359.5,     0.8,     1.7
   44, 198.749, 198.849,    42.0,    42.2,    0.11,    0.12,   359.6,     0.8,     1.7
   45, 198.849, 198.949,    39.4,    45.8,    0.11,    0.12,   359.5,     0.8,     1.9
   46, 198.949, 199.049,    41.6,    46.8,    0.12,    0.12,   359.4,     0.8,     1.9
   47, 199.049, 199.149,    47.2,    50.0,    0.13,    0.09,   359.4,     0.6,     1.8
   48, 199.149, 199.249,    47.0,    51.7,    0.10,    0.07,   359.6,     0.5,     1.5
   49, 199.249, 199.349,    53.4,    69.3,    0.08,    0.08,   359.5,     0.6,     1.6
   50, 199.349, 199.446,    61.9,    62.8,    0.08,    0.06,   359.4,     1.0,     1.3
