 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    78.1,    83.2,    0.32,    0.24,  0.00,   359.4,     0.6,     0.9
    2, 194.549, 194.649,    82.8,    87.6,    0.30,    0.26,  0.00,   359.5,     0.5,     0.7
    3, 194.649, 194.749,    82.8,    92.2,    0.31,    0.26,  0.00,   359.6,     0.3,     0.9
    4, 194.749, 194.849,    79.1,    72.1,    0.34,    0.20,  0.00,   359.5,     0.1,     1.1
    5, 194.849, 194.949,    72.5,    82.3,    0.35,    0.22,  0.00,   359.5,     0.0,     1.0
    6, 194.949, 195.049,    78.2,    85.1,    0.37,    0.23,  0.00,   359.6,     0.2,     1.0
    7, 195.049, 195.149,    99.8,   109.8,    0.36,    0.18,  0.00,   359.5,     0.3,     1.1
    8, 195.149, 195.249,    80.2,    96.8,    0.33,    0.21,  0.00,   359.5,     0.2,     1.1
    9, 195.249, 195.349,    91.9,    89.8,    0.28,    0.21,  0.00,   359.5,    -0.0,     1.2
   10, 195.349, 195.449,    58.9,    69.7,    0.13,    0.08,  0.00,   359.5,    -0.1,     1.2
   11, 195.449, 195.549,    52.2,    48.2,    0.13,    0.10,  0.00,   359.7,    -0.2,     1.4
   12, 195.549, 195.649,    76.2,    74.0,    0.11,    0.13,  0.00,   359.5,    -0.6,     1.4
   13, 195.649, 195.749,    71.2,    62.9,    0.15,    0.12,  0.00,   359.6,    -0.7,     1.3
   14, 195.749, 195.849,    46.6,    43.8,    0.11,    0.10,  0.00,   359.4,    -0.9,     1.3
   15, 195.849, 195.949,    53.6,    49.2,    0.12,    0.09,  0.00,   359.5,    -0.8,     1.1
   16, 195.949, 196.049,    51.6,    48.3,    0.11,    0.10,  0.00,   359.5,    -0.7,     1.3
   17, 196.049, 196.149,    52.1,    43.6,    0.09,    0.10,  0.00,   359.6,    -0.7,     1.6
   18, 196.149, 196.249,    45.2,    47.5,    0.11,    0.12,  0.00,   359.5,    -0.8,     1.6
   19, 196.249, 196.349,    48.1,    47.6,    0.11,    0.13,  0.00,   359.5,    -0.2,     1.7
   20, 196.349, 196.449,    47.7,    53.4,    0.12,    0.14,  0.00,   359.6,     1.4,     1.8
   21, 196.449, 196.549,    94.2,    82.4,    0.09,    0.13,  0.00,   359.4,    -0.3,     1.7
   22, 196.549, 196.649,    47.5,    53.2,    0.10,    0.09,  0.00,   359.5,    -2.4,     1.9
   23, 196.649, 196.749,    44.2,    48.6,    0.11,    0.11,  0.00,   359.5,    -2.8,     2.0
   24, 196.749, 196.849,    44.7,    45.8,    0.11,    0.09,  0.00,   359.5,    -1.4,     2.3
   25, 196.849, 196.949,    55.0,    46.5,    0.10,    0.09,  0.00,   359.6,    -1.0,     2.1
   26, 196.949, 197.049,    47.7,    51.4,    0.10,    0.10,  0.00,   359.6,    -1.0,     2.2
   27, 197.049, 197.149,    60.8,    57.6,    0.09,    0.09,  0.00,   359.5,    -1.1,     2.1
   28, 197.149, 197.249,    48.0,    46.5,    0.10,    0.11,  0.00,   359.5,    -1.1,     2.0
   29, 197.249, 197.349,    47.4,    53.3,    0.10,    0.10,  0.00,   359.5,    -1.1,     2.0
   30, 197.349, 197.449,    53.4,    43.0,    0.11,    0.11,  0.00,   359.6,    -1.0,     2.0
   31, 197.449, 197.549,    52.2,    45.0,    0.10,    0.10,  0.00,   359.5,    -0.8,     1.7
   32, 197.549, 197.649,    48.1,    52.9,    0.10,    0.11,  0.00,   359.6,    -0.6,     1.9
   33, 197.649, 197.749,    48.4,    47.4,    0.10,    0.10,  0.00,   359.6,    -0.6,     2.0
   34, 197.749, 197.849,    46.2,    48.7,    0.11,    0.11,  0.00,   359.6,    -0.5,     2.1
   35, 197.849, 197.949,    52.6,    57.4,    0.11,    0.11,  0.00,   359.4,    -0.6,     2.1
   36, 197.949, 198.049,    48.4,    45.9,    0.11,    0.11,  0.00,   359.4,    -0.6,     2.1
   37, 198.049, 198.149,    52.8,    45.0,    0.12,    0.11,  0.00,   359.6,    -0.6,     2.1
   38, 198.149, 198.249,    52.8,    45.8,    0.11,    0.13,  0.00,   359.5,    -0.4,     1.9
   39, 198.249, 198.349,    52.3,    58.9,    0.10,    0.09,  0.00,   359.5,    -0.4,     2.1
   40, 198.349, 198.449,    53.0,    47.1,    0.12,    0.11,  0.00,   359.5,    -0.3,     2.1
   41, 198.449, 198.549,    48.7,    46.9,    0.12,    0.14,  0.00,   359.6,    -0.3,     2.1
   42, 198.549, 198.649,    47.3,    43.6,    0.14,    0.14,  0.00,   359.4,    -0.3,     1.9
   43, 198.649, 198.749,    44.4,    44.9,    0.13,    0.15,  0.00,   359.6,    -0.3,     1.9
   44, 198.749, 198.849,    41.8,    44.1,    0.13,    0.13,  0.00,   359.5,    -0.3,     1.8
   45, 198.849, 198.949,    42.6,    45.0,    0.12,    0.14,  0.00,   359.6,    -0.3,     2.0
   46, 198.949, 199.049,    45.1,    46.6,    0.13,    0.15,  0.00,   359.5,    -0.4,     1.9
   47, 199.049, 199.149,    46.9,    47.1,    0.13,    0.12,  0.00,   359.4,    -0.5,     1.8
   48, 199.149, 199.249,    49.3,    49.4,    0.10,    0.09,  0.00,   359.5,    -0.6,     1.6
   49, 199.249, 199.349,    55.0,    74.6,    0.09,    0.09,  0.00,   359.5,    -0.5,     1.7
   50, 199.349, 199.446,    61.6,    61.3,    0.10,    0.07,  0.00,   359.4,    -0.1,     1.4
