 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    83.5,    90.2,    0.31,    0.22,   359.4,     0.6,     0.9
    2, 194.549, 194.649,    84.5,    80.3,    0.29,    0.23,   359.6,     0.5,     0.6
    3, 194.649, 194.749,    81.5,    91.5,    0.31,    0.25,   359.5,     0.2,     0.8
    4, 194.749, 194.849,    78.4,    72.8,    0.35,    0.19,   359.5,     0.0,     0.9
    5, 194.849, 194.949,    77.8,    74.2,    0.36,    0.21,   359.5,     0.0,     0.8
    6, 194.949, 195.049,    80.8,    79.3,    0.37,    0.23,   359.5,     0.2,     0.8
    7, 195.049, 195.149,   100.6,   108.7,    0.34,    0.18,   359.6,     0.2,     0.9
    8, 195.149, 195.249,    86.5,    85.5,    0.33,    0.21,   359.5,     0.1,     0.9
    9, 195.249, 195.349,    91.7,    92.8,    0.27,    0.20,   359.5,     0.0,     1.0
   10, 195.349, 195.449,    61.3,    68.1,    0.11,    0.07,   359.5,     0.0,     1.0
   11, 195.449, 195.549,    55.6,    48.4,    0.11,    0.09,   359.5,    -0.1,     1.2
   12, 195.549, 195.649,    76.3,    73.8,    0.12,    0.11,   359.5,    -0.5,     1.2
   13, 195.649, 195.749,    69.0,    68.1,    0.17,    0.09,   359.4,    -0.6,     1.1
   14, 195.749, 195.849,    49.3,    43.0,    0.13,    0.06,   359.4,    -0.8,     1.0
   15, 195.849, 195.949,    48.0,    47.2,    0.13,    0.06,   359.6,    -0.7,     1.0
   16, 195.949, 196.049,    50.6,    43.4,    0.14,    0.07,   359.6,    -0.6,     1.1
   17, 196.049, 196.149,    50.8,    46.1,    0.09,    0.09,   359.7,    -0.5,     1.4
   18, 196.149, 196.249,    42.0,    49.6,    0.11,    0.09,   359.5,    -0.6,     1.4
   19, 196.249, 196.349,    47.9,    49.4,    0.10,    0.10,   359.4,    -0.2,     1.7
   20, 196.349, 196.449,    52.3,    52.3,    0.12,    0.13,   359.6,     1.5,     1.8
   21, 196.449, 196.549,   115.7,    78.6,    0.10,    0.11,   359.5,    -0.2,     1.5
   22, 196.549, 196.649,    46.7,    51.4,    0.11,    0.07,   359.6,    -2.3,     1.7
   23, 196.649, 196.749,    45.8,    46.4,    0.11,    0.09,   359.5,    -2.7,     1.8
   24, 196.749, 196.849,    45.2,    46.4,    0.11,    0.08,   359.5,    -1.3,     2.0
   25, 196.849, 196.949,    60.1,    47.7,    0.09,    0.07,   359.6,    -0.9,     1.7
   26, 196.949, 197.049,    47.8,    51.0,    0.11,    0.08,   359.6,    -0.9,     1.9
   27, 197.049, 197.149,    59.0,    61.0,    0.09,    0.07,   359.5,    -0.9,     1.8
   28, 197.149, 197.249,    51.7,    44.9,    0.10,    0.08,   359.5,    -1.0,     1.6
   29, 197.249, 197.349,    47.2,    51.5,    0.11,    0.09,   359.6,    -1.0,     1.6
   30, 197.349, 197.449,    53.6,    42.6,    0.10,    0.10,   359.5,    -1.0,     1.6
   31, 197.449, 197.549,    50.3,    41.1,    0.10,    0.09,   359.5,    -0.8,     1.3
   32, 197.549, 197.649,    48.7,    46.2,    0.10,    0.09,   359.6,    -0.5,     1.5
   33, 197.649, 197.749,    45.2,    45.4,    0.11,    0.09,   359.5,    -0.5,     1.6
   34, 197.749, 197.849,    46.2,    51.3,    0.12,    0.10,   359.6,    -0.6,     1.7
   35, 197.849, 197.949,    52.7,    55.6,    0.11,    0.09,   359.4,    -0.6,     1.8
   36, 197.949, 198.049,    45.3,    49.8,    0.10,    0.09,   359.5,    -0.6,     1.7
   37, 198.049, 198.149,    52.8,    47.6,    0.10,    0.09,   359.5,    -0.6,     1.7
   38, 198.149, 198.249,    46.1,    50.8,    0.10,    0.09,   359.6,    -0.4,     1.4
   39, 198.249, 198.349,    52.8,    57.4,    0.10,    0.09,   359.6,    -0.3,     1.6
   40, 198.349, 198.449,    53.2,    47.2,    0.11,    0.09,   359.5,    -0.3,     1.7
   41, 198.449, 198.549,    47.8,    45.3,    0.11,    0.12,   359.6,    -0.4,     1.8
   42, 198.549, 198.649,    43.1,    41.4,    0.12,    0.12,   359.5,    -0.3,     1.7
   43, 198.649, 198.749,    46.8,    41.7,    0.13,    0.11,   359.4,    -0.3,     1.5
   44, 198.749, 198.849,    45.9,    44.3,    0.12,    0.10,   359.6,    -0.4,     1.5
   45, 198.849, 198.949,    40.5,    44.8,    0.12,    0.12,   359.6,    -0.4,     1.7
   46, 198.949, 199.049,    43.6,    48.6,    0.12,    0.12,   359.6,    -0.4,     1.7
   47, 199.049, 199.149,    47.2,    48.9,    0.11,    0.11,   359.3,    -0.5,     1.7
   48, 199.149, 199.249,    50.2,    48.9,    0.10,    0.07,   359.4,    -0.6,     1.4
   49, 199.249, 199.349,    54.0,    72.2,    0.08,    0.08,   359.6,    -0.5,     1.4
   50, 199.349, 199.445,    61.3,    64.0,    0.09,    0.07,   359.4,    -0.2,     1.1
