 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.7,    94.3,    0.32,    0.23,  0.00,   359.5,     1.0,     0.9
    2, 194.549, 194.649,    80.3,    84.6,    0.30,    0.25,  0.00,   359.5,     0.8,     0.7
    3, 194.649, 194.749,    83.6,    94.2,    0.31,    0.26,  0.00,   359.5,     0.6,     0.9
    4, 194.749, 194.849,    76.3,    69.2,    0.35,    0.20,  0.00,   359.5,     0.4,     0.9
    5, 194.849, 194.949,    76.4,    74.6,    0.36,    0.22,  0.00,   359.5,     0.3,     0.8
    6, 194.949, 195.049,    77.7,    86.3,    0.36,    0.22,  0.00,   359.6,     0.4,     0.8
    7, 195.049, 195.149,    99.3,   108.8,    0.34,    0.18,  0.00,   359.6,     0.4,     1.0
    8, 195.149, 195.249,    81.8,    97.6,    0.32,    0.20,  0.00,   359.5,     0.2,     0.9
    9, 195.249, 195.349,    93.7,    96.9,    0.25,    0.19,  0.00,   359.4,     0.1,     1.0
   10, 195.349, 195.449,    59.9,    71.0,    0.12,    0.08,  0.00,   359.5,    -0.0,     1.0
   11, 195.449, 195.549,    54.6,    48.8,    0.11,    0.10,  0.00,   359.6,    -0.1,     1.2
   12, 195.549, 195.649,    83.1,    78.1,    0.11,    0.11,  0.00,   359.5,    -0.5,     1.2
   13, 195.649, 195.749,    66.5,    60.1,    0.16,    0.12,  0.00,   359.5,    -0.6,     1.2
   14, 195.749, 195.849,    51.1,    43.1,    0.14,    0.08,  0.00,   359.4,    -0.7,     1.1
   15, 195.849, 195.949,    49.9,    51.0,    0.12,    0.07,  0.00,   359.4,    -0.7,     1.0
   16, 195.949, 196.049,    49.9,    44.1,    0.13,    0.07,  0.00,   359.6,    -0.6,     1.2
   17, 196.049, 196.149,    52.5,    46.4,    0.11,    0.09,  0.00,   359.6,    -0.6,     1.4
   18, 196.149, 196.249,    46.0,    51.4,    0.12,    0.10,  0.00,   359.5,    -0.6,     1.5
   19, 196.249, 196.349,    46.3,    52.1,    0.10,    0.12,  0.00,   359.5,    -0.0,     1.5
   20, 196.349, 196.449,    48.4,    51.6,    0.12,    0.12,  0.00,   359.5,     1.6,     1.6
   21, 196.449, 196.549,   107.2,    82.0,    0.10,    0.12,  0.00,   359.5,    -0.1,     1.5
   22, 196.549, 196.649,    44.5,    54.3,    0.10,    0.09,  0.00,   359.5,    -2.1,     1.8
   23, 196.649, 196.749,    46.3,    48.4,    0.11,    0.10,  0.00,   359.5,    -2.5,     1.9
   24, 196.749, 196.849,    46.0,    47.1,    0.12,    0.09,  0.00,   359.5,    -1.1,     2.1
   25, 196.849, 196.949,    54.9,    45.2,    0.11,    0.09,  0.00,   359.4,    -0.6,     1.9
   26, 196.949, 197.049,    45.0,    49.9,    0.11,    0.08,  0.00,   359.6,    -0.6,     1.9
   27, 197.049, 197.149,    60.0,    57.6,    0.10,    0.09,  0.00,   359.5,    -0.6,     1.9
   28, 197.149, 197.249,    51.3,    44.4,    0.10,    0.09,  0.00,   359.5,    -0.6,     1.7
   29, 197.249, 197.349,    46.9,    52.5,    0.10,    0.10,  0.00,   359.5,    -0.6,     1.8
   30, 197.349, 197.449,    48.9,    46.7,    0.09,    0.11,  0.00,   359.5,    -0.5,     1.8
   31, 197.449, 197.549,    50.1,    45.9,    0.08,    0.09,  0.00,   359.5,    -0.3,     1.6
   32, 197.549, 197.649,    45.8,    44.9,    0.10,    0.10,  0.00,   359.5,    -0.1,     1.7
   33, 197.649, 197.749,    50.2,    51.1,    0.10,    0.10,  0.00,   359.6,    -0.0,     1.8
   34, 197.749, 197.849,    42.2,    52.1,    0.12,    0.10,  0.00,   359.5,    -0.0,     1.9
   35, 197.849, 197.949,    52.3,    54.5,    0.11,    0.10,  0.00,   359.5,     0.0,     2.0
   36, 197.949, 198.049,    44.3,    45.2,    0.09,    0.10,  0.00,   359.4,     0.0,     1.9
   37, 198.049, 198.149,    53.9,    45.2,    0.10,    0.11,  0.00,   359.5,     0.0,     2.0
   38, 198.149, 198.249,    50.2,    47.8,    0.10,    0.12,  0.00,   359.4,     0.2,     1.7
   39, 198.249, 198.349,    54.1,    58.5,    0.10,    0.10,  0.00,   359.6,     0.3,     1.8
   40, 198.349, 198.449,    62.2,    46.1,    0.10,    0.11,  0.00,   359.5,     0.4,     2.0
   41, 198.449, 198.549,    48.2,    43.3,    0.11,    0.13,  0.00,   359.6,     0.3,     1.9
   42, 198.549, 198.649,    46.6,    44.3,    0.12,    0.14,  0.00,   359.5,     0.4,     1.9
   43, 198.649, 198.749,    44.4,    44.4,    0.13,    0.13,  0.00,   359.5,     0.3,     1.8
   44, 198.749, 198.849,    42.9,    40.6,    0.11,    0.13,  0.00,   359.5,     0.3,     1.7
   45, 198.849, 198.949,    44.8,    46.0,    0.13,    0.12,  0.00,   359.5,     0.4,     1.8
   46, 198.949, 199.049,    43.4,    50.2,    0.13,    0.12,  0.00,   359.6,     0.3,     1.8
   47, 199.049, 199.149,    47.7,    48.1,    0.13,    0.10,  0.00,   359.4,     0.2,     1.7
   48, 199.149, 199.249,    49.4,    50.1,    0.10,    0.07,  0.00,   359.5,     0.1,     1.4
   49, 199.249, 199.349,    55.3,    71.4,    0.09,    0.09,  0.00,   359.4,     0.2,     1.4
   50, 199.349, 199.446,    62.9,    65.2,    0.09,    0.07,  0.00,   359.6,     0.5,     1.2
