 Line,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.7,    94.5,    0.28,    0.27,  0.00,   359.4,     1.0,     0.9
    2, 194.549, 194.649,    80.4,    90.2,    0.29,    0.28,  0.00,   359.4,     0.9,     0.7
    3, 194.649, 194.749,    81.5,    98.8,    0.31,    0.27,  0.00,   359.6,     0.8,     1.0
    4, 194.749, 194.849,    77.5,    70.9,    0.35,    0.20,  0.00,   359.5,     0.8,     1.1
    5, 194.849, 194.949,    75.1,    84.0,    0.36,    0.22,  0.00,   359.5,     0.9,     1.0
    6, 194.949, 195.049,    76.2,    84.3,    0.37,    0.23,  0.00,   359.6,     1.2,     1.0
    7, 195.049, 195.149,   101.3,   117.1,    0.35,    0.18,  0.00,   359.5,     1.3,     1.1
    8, 195.149, 195.249,    78.3,    95.0,    0.32,    0.21,  0.00,   359.5,     1.2,     1.1
    9, 195.249, 195.349,    94.2,    96.5,    0.26,    0.20,  0.00,   359.4,     1.1,     1.2
   10, 195.349, 195.449,    61.3,    68.4,    0.12,    0.08,  0.00,   359.5,     1.1,     1.2
   11, 195.449, 195.549,    63.5,    51.6,    0.11,    0.10,  0.00,   359.5,     1.0,     1.4
   12, 195.549, 195.649,    83.5,    74.3,    0.11,    0.12,  0.00,   359.6,     0.5,     1.4
   13, 195.649, 195.749,    64.7,    61.1,    0.16,    0.12,  0.00,   359.5,     0.4,     1.3
   14, 195.749, 195.849,    51.8,    43.4,    0.13,    0.10,  0.00,   359.5,     0.2,     1.3
   15, 195.849, 195.949,    50.9,    50.5,    0.10,    0.09,  0.00,   359.6,     0.1,     1.3
   16, 195.949, 196.049,    53.3,    48.0,    0.12,    0.10,  0.00,   359.4,     0.1,     1.5
   17, 196.049, 196.149,    52.0,    45.2,    0.10,    0.10,  0.00,   359.6,    -0.1,     1.6
   18, 196.149, 196.249,    43.2,    50.8,    0.11,    0.11,  0.00,   359.5,    -0.4,     1.7
   19, 196.249, 196.349,    46.5,    50.1,    0.12,    0.11,  0.00,   359.5,    -0.1,     1.7
   20, 196.349, 196.449,    49.0,    51.3,    0.12,    0.13,  0.00,   359.5,     1.4,     1.8
   21, 196.449, 196.549,    98.3,    77.9,    0.10,    0.12,  0.00,   359.5,    -0.3,     1.6
   22, 196.549, 196.649,    43.3,    53.4,    0.11,    0.09,  0.00,   359.6,    -2.4,     1.8
   23, 196.649, 196.749,    45.9,    48.6,    0.11,    0.10,  0.00,   359.5,    -2.8,     1.9
   24, 196.749, 196.849,    42.8,    46.7,    0.11,    0.10,  0.00,   359.6,    -1.5,     2.3
   25, 196.849, 196.949,    51.5,    47.8,    0.11,    0.09,  0.00,   359.5,    -1.2,     2.1
   26, 196.949, 197.049,    49.1,    55.0,    0.09,    0.11,  0.00,   359.6,    -1.2,     2.2
   27, 197.049, 197.149,    57.4,    60.7,    0.08,    0.10,  0.00,   359.5,    -1.3,     2.3
   28, 197.149, 197.249,    48.8,    45.1,    0.09,    0.11,  0.00,   359.5,    -1.3,     2.2
   29, 197.249, 197.349,    45.5,    52.9,    0.09,    0.11,  0.00,   359.5,    -1.3,     2.2
   30, 197.349, 197.449,    49.0,    48.7,    0.09,    0.11,  0.00,   359.5,    -1.3,     2.2
   31, 197.449, 197.549,    50.8,    47.6,    0.09,    0.10,  0.00,   359.5,    -1.1,     1.8
   32, 197.549, 197.649,    50.2,    51.2,    0.08,    0.11,  0.00,   359.5,    -0.8,     2.0
   33, 197.649, 197.749,    50.5,    49.0,    0.10,    0.11,  0.00,   359.6,    -0.9,     2.0
   34, 197.749, 197.849,    48.5,    49.3,    0.10,    0.11,  0.00,   359.6,    -0.9,     2.2
   35, 197.849, 197.949,    50.3,    52.2,    0.09,    0.11,  0.00,   359.5,    -0.9,     2.3
   36, 197.949, 198.049,    46.1,    44.6,    0.09,    0.11,  0.00,   359.4,    -1.0,     2.2
   37, 198.049, 198.149,    57.8,    45.4,    0.10,    0.11,  0.00,   359.5,    -0.9,     2.2
   38, 198.149, 198.249,    53.5,    49.8,    0.10,    0.12,  0.00,   359.4,    -0.8,     1.9
   39, 198.249, 198.349,    53.1,    57.1,    0.09,    0.11,  0.00,   359.6,    -0.8,     2.2
   40, 198.349, 198.449,    51.9,    45.9,    0.11,    0.11,  0.00,   359.5,    -0.7,     2.2
   41, 198.449, 198.549,    49.8,    47.4,    0.12,    0.13,  0.00,   359.6,    -0.7,     2.2
   42, 198.549, 198.649,    44.4,    42.8,    0.12,    0.13,  0.00,   359.5,    -0.7,     2.2
   43, 198.649, 198.749,    44.4,    41.9,    0.13,    0.13,  0.00,   359.4,    -0.7,     2.0
   44, 198.749, 198.849,    43.2,    42.3,    0.12,    0.12,  0.00,   359.6,    -0.7,     2.0
   45, 198.849, 198.949,    38.9,    47.8,    0.11,    0.13,  0.00,   359.6,    -0.7,     2.2
   46, 198.949, 199.049,    43.8,    46.7,    0.12,    0.14,  0.00,   359.5,    -0.8,     2.2
   47, 199.049, 199.149,    48.0,    49.4,    0.11,    0.11,  0.00,   359.4,    -0.9,     2.1
   48, 199.149, 199.249,    47.7,    52.1,    0.09,    0.09,  0.00,   359.6,    -1.0,     1.9
   49, 199.249, 199.349,    53.0,    72.8,    0.08,    0.09,  0.00,   359.5,    -0.9,     2.0
   50, 199.349, 199.446,    57.5,    63.9,    0.10,    0.08,  0.00,   359.5,    -0.5,     1.6
