 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    76.1,    88.4,    0.33,    0.23,   359.6,     0.6,     0.7
    2, 194.549, 194.649,    78.8,    82.4,    0.31,    0.25,   359.5,     0.3,     0.6
    3, 194.649, 194.749,    86.4,    86.8,    0.33,    0.25,   359.6,     0.1,     0.8
    4, 194.749, 194.849,    75.1,    68.7,    0.35,    0.18,   359.5,    -0.0,     0.9
    5, 194.849, 194.949,    72.1,    80.2,    0.36,    0.21,   359.5,    -0.1,     0.8
    6, 194.949, 195.049,    76.7,    82.9,    0.37,    0.22,   359.5,     0.1,     0.8
    7, 195.049, 195.149,    99.4,   111.3,    0.34,    0.17,   359.6,     0.1,     0.9
    8, 195.149, 195.249,    83.3,    85.5,    0.33,    0.21,   359.5,     0.1,     0.9
    9, 195.249, 195.349,    93.3,    91.2,    0.27,    0.20,   359.5,    -0.0,     1.0
   10, 195.349, 195.449,    57.5,    66.0,    0.12,    0.07,   359.4,     0.0,     1.0
   11, 195.449, 195.549,    60.9,    49.8,    0.12,    0.07,   359.6,    -0.0,     1.2
   12, 195.549, 195.649,    80.0,    76.6,    0.12,    0.12,   359.5,    -0.4,     1.1
   13, 195.649, 195.749,    67.0,    64.1,    0.17,    0.10,   359.5,    -0.5,     1.0
   14, 195.749, 195.849,    42.5,    45.0,    0.15,    0.06,   359.5,    -0.6,     0.9
   15, 195.849, 195.949,    50.2,    47.9,    0.13,    0.06,   359.5,    -0.5,     0.9
   16, 195.949, 196.049,    49.6,    44.7,    0.14,    0.06,   359.6,    -0.4,     0.9
   17, 196.049, 196.149,    51.6,    46.5,    0.09,    0.09,   359.6,    -0.4,     1.3
   18, 196.149, 196.249,    43.5,    48.4,    0.11,    0.09,   359.5,    -0.4,     1.3
   19, 196.249, 196.349,    47.3,    50.5,    0.09,    0.10,   359.5,     0.2,     1.4
   20, 196.349, 196.449,    45.3,    50.0,    0.11,    0.12,   359.6,     1.8,     1.5
   21, 196.449, 196.549,   101.6,    85.4,    0.09,    0.12,   359.5,     0.0,     1.4
   22, 196.549, 196.649,    48.3,    52.4,    0.12,    0.07,   359.6,    -2.1,     1.6
   23, 196.649, 196.749,    48.4,    48.4,    0.11,    0.10,   359.5,    -2.3,     1.7
   24, 196.749, 196.849,    43.7,    47.3,    0.11,    0.08,   359.5,    -1.0,     2.0
   25, 196.849, 196.949,    56.2,    44.6,    0.11,    0.08,   359.5,    -0.6,     1.8
   26, 196.949, 197.049,    46.6,    50.8,    0.10,    0.08,   359.6,    -0.6,     1.7
   27, 197.049, 197.149,    59.8,    58.7,    0.10,    0.07,   359.5,    -0.6,     1.7
   28, 197.149, 197.249,    51.8,    46.5,    0.10,    0.08,   359.5,    -0.6,     1.5
   29, 197.249, 197.349,    44.4,    53.1,    0.11,    0.08,   359.6,    -0.6,     1.5
   30, 197.349, 197.449,    47.5,    42.3,    0.09,    0.10,   359.6,    -0.5,     1.5
   31, 197.449, 197.549,    49.8,    43.1,    0.10,    0.09,   359.5,    -0.3,     1.2
   32, 197.549, 197.649,    48.4,    44.7,    0.09,    0.09,   359.6,    -0.0,     1.5
   33, 197.649, 197.749,    47.3,    44.4,    0.11,    0.09,   359.5,     0.0,     1.6
   34, 197.749, 197.849,    42.6,    50.7,    0.10,    0.10,   359.6,     0.1,     1.7
   35, 197.849, 197.949,    51.1,    51.4,    0.09,    0.10,   359.5,     0.1,     1.8
   36, 197.949, 198.049,    45.7,    44.8,    0.09,    0.10,   359.4,     0.1,     1.7
   37, 198.049, 198.149,    53.0,    44.8,    0.10,    0.10,   359.5,     0.1,     1.6
   38, 198.149, 198.249,    47.6,    46.2,    0.09,    0.11,   359.5,     0.3,     1.6
   39, 198.249, 198.349,    53.5,    56.3,    0.08,    0.09,   359.6,     0.3,     1.7
   40, 198.349, 198.449,    60.1,    44.9,    0.10,    0.09,   359.4,     0.4,     1.7
   41, 198.449, 198.549,    49.2,    45.4,    0.12,    0.12,   359.5,     0.4,     1.7
   42, 198.549, 198.649,    45.2,    45.7,    0.13,    0.11,   359.5,     0.4,     1.6
   43, 198.649, 198.749,    43.6,    44.2,    0.13,    0.11,   359.6,     0.3,     1.5
   44, 198.749, 198.849,    40.3,    41.6,    0.11,    0.11,   359.6,     0.4,     1.4
   45, 198.849, 198.949,    39.5,    45.8,    0.10,    0.12,   359.6,     0.4,     1.6
   46, 198.949, 199.049,    41.8,    50.2,    0.11,    0.12,   359.4,     0.3,     1.7
   47, 199.049, 199.149,    47.1,    48.9,    0.12,    0.09,   359.3,     0.2,     1.6
   48, 199.149, 199.249,    47.6,    47.7,    0.10,    0.06,   359.6,     0.2,     1.3
   49, 199.249, 199.349,    55.1,    70.5,    0.09,    0.08,   359.5,     0.3,     1.3
   50, 199.349, 199.444,    61.1,    65.2,    0.08,    0.07,   359.6,     0.6,     1.1
