 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    80.2,    84.9,    0.34,    0.23,   359.5,     1.1,     0.7
    2, 194.549, 194.649,    80.2,    84.0,    0.30,    0.25,   359.5,     0.8,     0.5
    3, 194.649, 194.749,    81.1,    95.9,    0.31,    0.25,   359.5,     0.6,     0.8
    4, 194.749, 194.849,    83.1,    65.4,    0.35,    0.18,   359.4,     0.5,     0.9
    5, 194.849, 194.949,    74.1,    78.6,    0.36,    0.20,   359.6,     0.5,     0.7
    6, 194.949, 195.049,    79.8,    85.5,    0.36,    0.21,   359.5,     0.7,     0.8
    7, 195.049, 195.149,   103.2,   106.1,    0.35,    0.17,   359.6,     0.7,     0.9
    8, 195.149, 195.249,    76.9,    96.2,    0.31,    0.20,   359.5,     0.6,     0.8
    9, 195.249, 195.349,    91.3,    91.9,    0.26,    0.19,   359.5,     0.5,     0.9
   10, 195.349, 195.449,    59.7,    65.8,    0.13,    0.06,   359.4,     0.3,     1.0
   11, 195.449, 195.549,    59.9,    51.0,    0.11,    0.08,   359.5,     0.2,     1.2
   12, 195.549, 195.649,    78.4,    75.6,    0.12,    0.11,   359.5,    -0.2,     1.2
   13, 195.649, 195.749,    63.0,    66.8,    0.16,    0.09,   359.5,    -0.3,     1.1
   14, 195.749, 195.849,    42.8,    41.0,    0.15,    0.05,   359.5,    -0.5,     1.0
   15, 195.849, 195.949,    49.0,    46.3,    0.13,    0.05,   359.5,    -0.4,     1.0
   16, 195.949, 196.049,    51.9,    44.8,    0.13,    0.07,   359.6,    -0.3,     1.1
   17, 196.049, 196.149,    54.6,    48.2,    0.11,    0.08,   359.6,    -0.3,     1.3
   18, 196.149, 196.249,    46.6,    43.6,    0.11,    0.09,   359.5,    -0.4,     1.4
   19, 196.249, 196.349,    46.8,    50.2,    0.11,    0.10,   359.5,     0.2,     1.5
   20, 196.349, 196.449,    46.4,    51.1,    0.11,    0.12,   359.5,     1.8,     1.6
   21, 196.449, 196.549,   117.2,    77.8,    0.10,    0.11,   359.5,     0.1,     1.4
   22, 196.549, 196.649,    48.9,    50.0,    0.12,    0.07,   359.5,    -2.0,     1.6
   23, 196.649, 196.749,    47.1,    46.9,    0.12,    0.08,   359.5,    -2.4,     1.7
   24, 196.749, 196.849,    49.1,    46.2,    0.11,    0.08,   359.5,    -1.0,     2.0
   25, 196.849, 196.949,    57.2,    44.0,    0.10,    0.07,   359.5,    -0.6,     1.8
   26, 196.949, 197.049,    45.9,    48.1,    0.10,    0.08,   359.7,    -0.6,     1.9
   27, 197.049, 197.149,    58.3,    58.1,    0.08,    0.08,   359.4,    -0.6,     2.0
   28, 197.149, 197.249,    55.7,    46.0,    0.10,    0.07,   359.5,    -0.6,     1.8
   29, 197.249, 197.349,    47.9,    50.2,    0.10,    0.09,   359.5,    -0.6,     1.8
   30, 197.349, 197.449,    51.8,    46.5,    0.10,    0.09,   359.6,    -0.5,     1.7
   31, 197.449, 197.549,    49.0,    44.0,    0.09,    0.09,   359.4,    -0.3,     1.5
   32, 197.549, 197.649,    46.0,    44.3,    0.10,    0.09,   359.6,    -0.1,     1.6
   33, 197.649, 197.749,    48.1,    47.0,    0.11,    0.09,   359.5,    -0.1,     1.7
   34, 197.749, 197.849,    42.1,    51.1,    0.11,    0.09,   359.5,    -0.0,     1.8
   35, 197.849, 197.949,    53.7,    52.1,    0.11,    0.09,   359.5,    -0.0,     1.8
   36, 197.949, 198.049,    48.6,    47.3,    0.11,    0.09,   359.4,    -0.1,     1.8
   37, 198.049, 198.149,    50.0,    47.1,    0.11,    0.09,   359.6,     0.0,     1.8
   38, 198.149, 198.249,    48.5,    45.8,    0.11,    0.11,   359.5,     0.2,     1.7
   39, 198.249, 198.349,    53.2,    57.0,    0.10,    0.09,   359.6,     0.2,     1.8
   40, 198.349, 198.449,    57.2,    46.7,    0.11,    0.09,   359.5,     0.3,     1.8
   41, 198.449, 198.549,    44.0,    48.6,    0.12,    0.11,   359.5,     0.3,     1.8
   42, 198.549, 198.649,    46.3,    47.4,    0.13,    0.10,   359.5,     0.3,     1.7
   43, 198.649, 198.749,    42.5,    43.9,    0.13,    0.12,   359.6,     0.3,     1.6
   44, 198.749, 198.849,    42.8,    43.6,    0.12,    0.10,   359.5,     0.3,     1.6
   45, 198.849, 198.949,    43.1,    44.6,    0.12,    0.10,   359.6,     0.3,     1.7
   46, 198.949, 199.049,    41.0,    47.1,    0.12,    0.12,   359.5,     0.3,     1.8
   47, 199.049, 199.149,    48.9,    46.9,    0.12,    0.09,   359.4,     0.2,     1.6
   48, 199.149, 199.249,    49.9,    43.6,    0.10,    0.06,   359.5,     0.1,     1.3
   49, 199.249, 199.349,    58.7,    70.7,    0.08,    0.08,   359.6,     0.2,     1.3
   50, 199.349, 199.446,    61.3,    62.9,    0.09,    0.06,   359.5,     0.6,     1.2
