 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.5,    94.9,    0.32,    0.22,   359.5,     1.6,     0.6
    2, 194.549, 194.649,    80.3,    83.0,    0.31,    0.25,   359.5,     1.4,     0.5
    3, 194.649, 194.749,    82.1,    87.6,    0.32,    0.26,   359.6,     1.2,     0.7
    4, 194.749, 194.849,    75.6,    71.4,    0.35,    0.19,   359.5,     1.0,     0.8
    5, 194.849, 194.949,    72.3,    82.9,    0.35,    0.21,   359.5,     0.8,     0.6
    6, 194.949, 195.049,    79.5,    84.5,    0.37,    0.22,   359.6,     1.0,     0.7
    7, 195.049, 195.149,   103.9,   110.1,    0.34,    0.17,   359.5,     0.9,     0.8
    8, 195.149, 195.249,    85.6,    78.9,    0.32,    0.20,   359.4,     0.7,     0.9
    9, 195.249, 195.349,    95.7,    90.1,    0.27,    0.20,   359.5,     0.5,     0.9
   10, 195.349, 195.449,    60.5,    66.4,    0.13,    0.06,   359.4,     0.4,     0.9
   11, 195.449, 195.549,    55.1,    46.9,    0.12,    0.08,   359.6,     0.2,     1.1
   12, 195.549, 195.649,    79.5,    71.7,    0.12,    0.11,   359.6,    -0.3,     1.0
   13, 195.649, 195.749,    76.1,    71.1,    0.16,    0.10,   359.5,    -0.5,     1.0
   14, 195.749, 195.849,    43.9,    44.0,    0.15,    0.06,   359.5,    -0.7,     1.1
   15, 195.849, 195.949,    49.1,    47.7,    0.13,    0.06,   359.5,    -0.7,     0.9
   16, 195.949, 196.049,    50.4,    43.7,    0.13,    0.07,   359.6,    -0.6,     1.0
   17, 196.049, 196.149,    51.2,    48.0,    0.10,    0.09,   359.6,    -0.7,     1.2
   18, 196.149, 196.249,    47.5,    46.7,    0.12,    0.09,   359.4,    -0.8,     1.3
   19, 196.249, 196.349,    57.4,    50.3,    0.11,    0.09,   359.5,    -0.3,     1.3
   20, 196.349, 196.449,    48.4,    51.1,    0.11,    0.12,   359.6,     1.3,     1.4
   21, 196.449, 196.549,   100.7,    82.3,    0.09,    0.11,   359.5,    -0.4,     1.3
   22, 196.549, 196.649,    50.7,    53.7,    0.12,    0.07,   359.5,    -2.5,     1.6
   23, 196.649, 196.749,    44.0,    49.8,    0.11,    0.09,   359.5,    -2.9,     1.7
   24, 196.749, 196.849,    47.4,    46.4,    0.11,    0.08,   359.5,    -1.5,     1.9
   25, 196.849, 196.949,    58.4,    45.3,    0.10,    0.07,   359.5,    -1.1,     1.7
   26, 196.949, 197.049,    49.4,    49.6,    0.10,    0.08,   359.5,    -1.2,     1.8
   27, 197.049, 197.149,    62.0,    63.4,    0.10,    0.07,   359.5,    -1.2,     1.7
   28, 197.149, 197.249,    53.7,    45.3,    0.11,    0.07,   359.5,    -1.3,     1.5
   29, 197.249, 197.349,    44.3,    50.8,    0.10,    0.09,   359.5,    -1.3,     1.5
   30, 197.349, 197.449,    54.4,    44.0,    0.10,    0.09,   359.6,    -1.3,     1.4
   31, 197.449, 197.549,    51.6,    44.7,    0.10,    0.08,   359.4,    -1.1,     1.2
   32, 197.549, 197.649,    47.5,    51.7,    0.10,    0.08,   359.6,    -0.8,     1.3
   33, 197.649, 197.749,    47.9,    50.1,    0.09,    0.07,   359.5,    -0.8,     1.4
   34, 197.749, 197.849,    50.0,    52.8,    0.10,    0.09,   359.6,    -0.8,     1.5
   35, 197.849, 197.949,    54.5,    56.3,    0.11,    0.09,   359.5,    -0.8,     1.6
   36, 197.949, 198.049,    45.2,    46.6,    0.10,    0.09,   359.5,    -0.9,     1.6
   37, 198.049, 198.149,    54.8,    44.1,    0.11,    0.10,   359.5,    -0.8,     1.5
   38, 198.149, 198.249,    48.2,    45.6,    0.11,    0.11,   359.4,    -0.7,     1.4
   39, 198.249, 198.349,    53.5,    55.6,    0.10,    0.09,   359.6,    -0.6,     1.5
   40, 198.349, 198.449,    56.0,    49.2,    0.11,    0.09,   359.5,    -0.5,     1.6
   41, 198.449, 198.549,    44.5,    44.5,    0.12,    0.11,   359.5,    -0.5,     1.6
   42, 198.549, 198.649,    45.2,    45.2,    0.12,    0.12,   359.5,    -0.5,     1.6
   43, 198.649, 198.749,    43.4,    44.8,    0.13,    0.12,   359.5,    -0.5,     1.5
   44, 198.749, 198.849,    43.5,    42.9,    0.12,    0.11,   359.6,    -0.6,     1.4
   45, 198.849, 198.949,    38.0,    45.2,    0.10,    0.12,   359.5,    -0.5,     1.6
   46, 198.949, 199.049,    39.7,    48.4,    0.12,    0.12,   359.4,    -0.5,     1.6
   47, 199.049, 199.149,    48.9,    49.4,    0.12,    0.09,   359.5,    -0.6,     1.5
   48, 199.149, 199.249,    48.6,    50.0,    0.10,    0.07,   359.5,    -0.8,     1.2
   49, 199.249, 199.349,    55.3,    71.3,    0.09,    0.08,   359.4,    -0.7,     1.2
   50, 199.349, 199.446,    61.9,    63.9,    0.08,    0.07,   359.5,    -0.3,     1.0
