 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    77.4,    89.7,    0.34,    0.22,   359.6,     0.9,     0.6
    2, 194.549, 194.649,    78.5,    79.9,    0.32,    0.24,   359.4,     0.8,     0.4
    3, 194.649, 194.749,    85.0,    89.5,    0.32,    0.26,   359.6,     0.7,     0.6
    4, 194.749, 194.849,    76.5,    69.4,    0.36,    0.18,   359.5,     0.6,     0.8
    5, 194.849, 194.949,    72.5,    77.2,    0.37,    0.21,   359.5,     0.6,     0.7
    6, 194.949, 195.049,    76.4,    81.0,    0.37,    0.22,   359.6,     0.8,     0.7
    7, 195.049, 195.149,    97.4,   111.2,    0.35,    0.17,   359.5,     0.9,     0.9
    8, 195.149, 195.249,    87.6,    83.0,    0.33,    0.20,   359.4,     0.8,     0.9
    9, 195.249, 195.349,    88.7,    90.9,    0.27,    0.18,   359.5,     0.7,     1.0
   10, 195.349, 195.449,    59.1,    69.5,    0.12,    0.06,   359.5,     0.6,     1.0
   11, 195.449, 195.549,    58.3,    51.9,    0.13,    0.07,   359.6,     0.5,     1.2
   12, 195.549, 195.649,    71.7,    68.3,    0.12,    0.11,   359.5,     0.1,     1.2
   13, 195.649, 195.749,    71.0,    71.3,    0.18,    0.10,   359.5,    -0.1,     1.1
   14, 195.749, 195.849,    44.8,    44.6,    0.15,    0.06,   359.5,    -0.2,     1.2
   15, 195.849, 195.949,    47.5,    45.5,    0.12,    0.06,   359.5,    -0.2,     1.1
   16, 195.949, 196.049,    47.5,    43.1,    0.15,    0.06,   359.5,    -0.1,     1.2
   17, 196.049, 196.149,    49.1,    44.5,    0.11,    0.09,   359.6,    -0.2,     1.5
   18, 196.149, 196.249,    44.6,    46.6,    0.12,    0.09,   359.5,    -0.2,     1.5
   19, 196.249, 196.349,    47.7,    50.2,    0.11,    0.09,   359.5,     0.3,     1.6
   20, 196.349, 196.449,    44.8,    52.0,    0.12,    0.12,   359.5,     1.9,     1.8
   21, 196.449, 196.549,   107.1,    82.5,    0.10,    0.11,   359.5,     0.3,     1.6
   22, 196.549, 196.649,    45.7,    50.0,    0.12,    0.07,   359.5,    -1.8,     1.8
   23, 196.649, 196.749,    47.1,    46.3,    0.11,    0.09,   359.5,    -2.3,     1.9
   24, 196.749, 196.849,    43.9,    44.5,    0.11,    0.08,   359.5,    -1.0,     2.1
   25, 196.849, 196.949,    54.2,    46.5,    0.11,    0.07,   359.5,    -0.6,     1.9
   26, 196.949, 197.049,    45.0,    53.0,    0.10,    0.08,   359.6,    -0.6,     2.0
   27, 197.049, 197.149,    58.7,    59.0,    0.10,    0.07,   359.4,    -0.6,     1.9
   28, 197.149, 197.249,    52.5,    49.4,    0.10,    0.07,   359.6,    -0.6,     1.7
   29, 197.249, 197.349,    46.3,    50.3,    0.09,    0.09,   359.5,    -0.6,     1.8
   30, 197.349, 197.449,    50.4,    42.6,    0.10,    0.10,   359.5,    -0.5,     1.7
   31, 197.449, 197.549,    48.1,    41.2,    0.09,    0.09,   359.5,    -0.2,     1.4
   32, 197.549, 197.649,    45.2,    46.3,    0.10,    0.08,   359.5,     0.1,     1.6
   33, 197.649, 197.749,    46.1,    46.2,    0.10,    0.09,   359.6,     0.1,     1.8
   34, 197.749, 197.849,    44.4,    50.8,    0.11,    0.10,   359.5,     0.1,     1.9
   35, 197.849, 197.949,    50.6,    52.7,    0.10,    0.09,   359.5,     0.1,     2.0
   36, 197.949, 198.049,    47.3,    43.0,    0.11,    0.09,   359.4,     0.0,     1.9
   37, 198.049, 198.149,    50.7,    46.3,    0.09,    0.09,   359.6,     0.1,     2.0
   38, 198.149, 198.249,    50.5,    45.2,    0.10,    0.12,   359.4,     0.2,     1.8
   39, 198.249, 198.349,    52.6,    58.8,    0.09,    0.09,   359.6,     0.3,     2.0
   40, 198.349, 198.449,    52.8,    43.7,    0.10,    0.09,   359.5,     0.3,     2.1
   41, 198.449, 198.549,    46.5,    42.3,    0.11,    0.12,   359.6,     0.2,     2.1
   42, 198.549, 198.649,    45.8,    43.4,    0.12,    0.11,   359.5,     0.2,     2.0
   43, 198.649, 198.749,    43.7,    42.2,    0.12,    0.12,   359.5,     0.2,     1.9
   44, 198.749, 198.849,    42.5,    41.4,    0.11,    0.11,   359.5,     0.1,     1.9
   45, 198.849, 198.949,    42.8,    43.9,    0.12,    0.11,   359.6,     0.2,     2.0
   46, 198.949, 199.049,    40.4,    45.4,    0.12,    0.11,   359.5,     0.1,     2.0
   47, 199.049, 199.149,    45.5,    46.4,    0.11,    0.09,   359.4,    -0.0,     1.9
   48, 199.149, 199.249,    46.8,    49.0,    0.10,    0.07,   359.5,    -0.1,     1.7
   49, 199.249, 199.349,    55.7,    72.3,    0.09,    0.08,   359.5,     0.1,     1.7
   50, 199.349, 199.449,    59.7,    63.2,    0.09,    0.06,   359.5,     0.5,     1.4
   51, 199.449, 199.534,    54.6,    50.3,    0.08,    0.09,   359.6,     0.5,     1.7
