 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    76.8,    87.1,    0.33,    0.23,   359.5,     1.8,     0.8
    2, 194.549, 194.649,    81.1,    87.9,    0.30,    0.25,   359.5,     1.5,     0.6
    3, 194.649, 194.749,    83.4,    89.3,    0.31,    0.26,   359.5,     1.3,     0.8
    4, 194.749, 194.849,    77.1,    69.9,    0.35,    0.19,   359.5,     1.1,     1.0
    5, 194.849, 194.949,    81.1,    73.8,    0.36,    0.20,   359.4,     1.0,     0.9
    6, 194.949, 195.049,    77.8,    81.6,    0.36,    0.23,   359.6,     1.1,     0.9
    7, 195.049, 195.149,    99.6,   108.2,    0.33,    0.18,   359.5,     1.1,     1.0
    8, 195.149, 195.249,    84.9,    78.0,    0.32,    0.20,   359.5,     0.8,     1.0
    9, 195.249, 195.349,    91.0,    89.4,    0.26,    0.20,   359.5,     0.7,     1.0
   10, 195.349, 195.449,    57.6,    68.8,    0.12,    0.07,   359.4,     0.5,     1.0
   11, 195.449, 195.549,    53.6,    49.9,    0.13,    0.07,   359.6,     0.4,     1.1
   12, 195.549, 195.649,    78.5,    74.1,    0.11,    0.11,   359.6,    -0.1,     1.1
   13, 195.649, 195.749,    74.6,    65.5,    0.16,    0.10,   359.5,    -0.2,     1.0
   14, 195.749, 195.849,    43.3,    42.9,    0.15,    0.06,   359.5,    -0.4,     1.0
   15, 195.849, 195.949,    50.5,    45.9,    0.13,    0.06,   359.5,    -0.5,     0.8
   16, 195.949, 196.049,    53.2,    46.1,    0.13,    0.07,   359.6,    -0.3,     1.0
   17, 196.049, 196.149,    48.7,    45.4,    0.08,    0.09,   359.6,    -0.3,     1.3
   18, 196.149, 196.249,    45.2,    46.6,    0.11,    0.09,   359.4,    -0.3,     1.4
   19, 196.249, 196.349,    48.5,    52.3,    0.09,    0.10,   359.6,     0.2,     1.4
   20, 196.349, 196.449,    47.1,    53.8,    0.11,    0.12,   359.5,     1.9,     1.6
   21, 196.449, 196.549,   116.5,    79.9,    0.10,    0.11,   359.5,     0.2,     1.3
   22, 196.549, 196.649,    45.7,    54.4,    0.12,    0.07,   359.5,    -1.9,     1.6
   23, 196.649, 196.749,    50.3,    48.1,    0.12,    0.09,   359.6,    -2.2,     1.6
   24, 196.749, 196.849,    46.1,    44.9,    0.11,    0.08,   359.5,    -0.8,     1.9
   25, 196.849, 196.949,    56.7,    44.4,    0.10,    0.07,   359.6,    -0.4,     1.7
   26, 196.949, 197.049,    47.1,    51.8,    0.09,    0.09,   359.6,    -0.4,     1.8
   27, 197.049, 197.149,    59.2,    55.8,    0.09,    0.08,   359.4,    -0.4,     1.8
   28, 197.149, 197.249,    50.2,    45.1,    0.10,    0.08,   359.5,    -0.4,     1.6
   29, 197.249, 197.349,    44.2,    51.2,    0.10,    0.09,   359.5,    -0.4,     1.7
   30, 197.349, 197.449,    55.9,    42.5,    0.10,    0.09,   359.5,    -0.3,     1.6
   31, 197.449, 197.549,    54.0,    45.0,    0.10,    0.07,   359.5,    -0.0,     1.2
   32, 197.549, 197.649,    48.3,    48.6,    0.10,    0.08,   359.6,     0.2,     1.4
   33, 197.649, 197.749,    50.6,    45.9,    0.11,    0.08,   359.6,     0.3,     1.5
   34, 197.749, 197.849,    46.7,    51.0,    0.11,    0.09,   359.5,     0.3,     1.6
   35, 197.849, 197.949,    54.4,    50.8,    0.11,    0.09,   359.5,     0.3,     1.6
   36, 197.949, 198.049,    46.9,    47.9,    0.11,    0.09,   359.5,     0.3,     1.6
   37, 198.049, 198.149,    51.9,    48.2,    0.11,    0.09,   359.5,     0.4,     1.6
   38, 198.149, 198.249,    49.5,    44.9,    0.10,    0.11,   359.5,     0.5,     1.5
   39, 198.249, 198.349,    55.1,    56.2,    0.10,    0.10,   359.6,     0.6,     1.7
   40, 198.349, 198.449,    54.5,    46.4,    0.10,    0.10,   359.5,     0.7,     1.8
   41, 198.449, 198.549,    46.3,    47.1,    0.12,    0.12,   359.5,     0.6,     1.8
   42, 198.549, 198.649,    49.4,    47.2,    0.13,    0.10,   359.5,     0.6,     1.6
   43, 198.649, 198.749,    44.1,    40.0,    0.12,    0.12,   359.6,     0.6,     1.5
   44, 198.749, 198.849,    41.2,    45.1,    0.10,    0.11,   359.6,     0.6,     1.5
   45, 198.849, 198.949,    41.4,    45.1,    0.11,    0.11,   359.5,     0.6,     1.7
   46, 198.949, 199.049,    44.9,    47.9,    0.12,    0.12,   359.5,     0.6,     1.7
   47, 199.049, 199.149,    47.6,    48.5,    0.11,    0.10,   359.4,     0.5,     1.6
   48, 199.149, 199.249,    45.0,    48.3,    0.10,    0.07,   359.5,     0.4,     1.3
   49, 199.249, 199.349,    52.3,    69.5,    0.08,    0.07,   359.6,     0.5,     1.4
   50, 199.349, 199.446,    60.3,    61.6,    0.08,    0.06,   359.4,     0.8,     1.1
